"id_order","product_id","product_name","product_quantity","product_price","total_price_tax_incl","total_price_tax_excl","id_product","id_manufacturer","name","location","city","current_state","name","preorder","invoice_date","delivery_date","total_paid","total_paid_tax_excl","total_paid_real","total_shipping","category","date_invoice","date_delivery"
"36297","35269","Rasmalai Cake - Select Weight : 500 gms (Serves 4-6)","1","549.000000","647.820000","549.000000","35269","118","CZW_3181","KPHB","Hyderabad","93","Dispatching","1","2023-04-17 00:14:04","2023-04-17 22:00:00","547.820000","449.000000","547.820000","0.000000","Exclusive Indian Fusion Cakes","2023-04-17","2023-04-17"
"36298","28596","Chocolate Truffle Lunch Box Cake","1","269.000000","317.420000","269.000000","28596","153","CZW_41709","Benz Circle","Vijayawada","93","Dispatching","0","2023-04-17 08:16:55","2023-04-17 08:16:56","267.420000","219.000000","267.420000","50.000000","Bento Cakes","2023-04-17","2023-04-17"
"36299","102377","Layered Chocolate Truffle Eggless Cake - Select Weight : 500 gms (Serves 4-6)","1","629.000000","742.220000","629.000000","102377","187","CZW_66692","Wagholi","Pune","93","Dispatching","0","2023-04-17 08:18:55","2023-04-17 08:18:55","542.220000","429.000000","542.220000","0.000000","Eggless Cakes","2023-04-17","2023-04-17"
"36300","63376","Red Velvet Cheesecake [500gm]","1","1059.000000","1249.620000","1059.000000","63376","171","CZW_61717","Salem","Salem","93","Dispatching","1","2023-04-17 08:21:27","2023-04-18 12:00:00","749.620000","559.000000","749.620000","0.000000","Cheesecakes [500gm]","2023-04-17","2023-04-18"
"36301","30688","Black Forest Eggless Cake - Select Weight : 500 gms (Serves 4-6)","1","549.000000","647.820000","549.000000","30688","74","CZW_3173","Bellandur","Bangalore","106","Delivered - Shipsy","1","2023-04-17 08:59:27","2023-04-17 18:00:00","548.820000","450.000000","548.820000","0.000000","Eggless Cakes","2023-04-17","2023-04-17"
"36301","30408","Knife and Candle","1","1.000000","1.000000","1.000000","30408","74","CZW_3173","Bellandur","Bangalore","106","Delivered - Shipsy","1","2023-04-17 08:59:27","2023-04-17 18:00:00","548.820000","450.000000","548.820000","0.000000","Optional Addons","2023-04-17","2023-04-17"
"36302","27891","Mango Fruit Eggless Cake - Select Weight : 1 Kg (Serves 9-10)","2","889.000000","2098.040000","1778.000000","27891","73","CZW_54305","Banaswadi","Bangalore","93","Dispatching","0","2023-04-17 09:02:02","2023-04-17 09:02:02","1599.040000","1279.000000","1599.040000","0.000000","Eggless Cakes","2023-04-17","2023-04-17"
"36302","27062","Knife and Candle","1","1.000000","1.000000","1.000000","27062","73","CZW_54305","Banaswadi","Bangalore","93","Dispatching","0","2023-04-17 09:02:02","2023-04-17 09:02:02","1599.040000","1279.000000","1599.040000","0.000000","Optional Addons","2023-04-17","2023-04-17"
"36303","39558","Knife and Candle","1","1.000000","1.000000","1.000000","39558","166","CZW_61419","Kadugudi","Bangalore","106","Delivered - Shipsy","1","2023-04-17 09:19:27","2023-04-18 09:00:00","416.220000","330.000000","416.220000","0.000000","Optional Addons","2023-04-17","2023-04-18"
"36303","39743","Pineapple Vanilla Eggless Cake - Select Weight : 500 gms (Serves 4-6)","1","479.000000","565.220000","479.000000","39743","166","CZW_61419","Kadugudi","Bangalore","106","Delivered - Shipsy","1","2023-04-17 09:19:27","2023-04-18 09:00:00","416.220000","330.000000","416.220000","0.000000","Eggless Cakes","2023-04-17","2023-04-18"
